date,cost,litre,odom,full
01-08-06,182.76,28.031,60929,
26-08-06,100,14.64,61126,
03-09-06,30,4.39,61613,
08-09-06,20,3.095,61750,
14-09-06,18,2.78,61777,
17-09-06,30,4.64,61802,
04-10-06,150,25.14,61922,
22-10-06,30,5.03,62280,
29-10-06,20,3.37,62344,
05-11-06,200,34.7,62387,
19-11-06,100,17.36,62661,
03-12-06,150,26.05,63097,
11-12-06,20,3.5,63464,
12-12-06,40,7.03,63498,
14-12-06,20,3.52,63586,
21-12-06,30,5.8,63645,
25-12-06,100,17.5,63731,
04-01-07,100,17.34,63868,
17-01-07,50,8.67,64188,
18-01-07,70,12.14,64203,
27-01-07,30,5.2,64382,
02-02-07,100,17.3,64465,
10-02-07,60,10.8,64705,
11-02-07,50,9.3,64853,
18-02-07,100,18,64921,
07-03-07,265,45.7,65202,1
16-03-07,121,20.9,65411,1
29-03-07,151,26.1,65705,1
16-04-07,40,6.2,66456,
23-04-07,50,7.74,66493,
29-04-07,50,7.74,66614,
05-05-07,70,10.3,66714,
09-05-07,50,7.36,66834,
11-05-07,80,11.7,66930,
17-05-07,295,43.3,67072,1
18-05-07,200,29.36,67547,
26-05-07,60,8.83,68091,
05-06-07,314.64,46.3,68218,1
28-07-07,50,7.2,68925,
29-07-07,30,4.3,68958,
01-08-07,100,14.7,69042,
06-08-07,200,29.4,69269,
17-08-07,100,14.7,69708,
25-08-07,170,25,69809,
06-09-07,234,35,70070,1
09-09-07,100,14.9,70403,
10-09-07,100,14.9,70862,
11-09-07,100,14.9,71094,
22-09-07,150,22.3,71414,
24-09-07,198,30,71596,1
24-10-07,338,49.8,72125,1
18-11-07,130,19,72727,
28-11-07,40,5.85,73013,
30-11-07,333.17,48.78,73074,1
28-12-07,61.7,8.5,73279,
03-01-08,100,13.7,73619,
05-01-08,130,17.98,73868,
30-01-08,368,50.7,74319,1
13-02-08,373,50.25,75038,1
25-02-08,50,6.7,75753,
28-02-08,200,26.9,75837,
01-03-08,286,38.5,76056,
17-03-08,90,11.19,76720,
20-03-08,100,12.4,76927,
22-03-08,20,2.49,77070,
25-03-08,362,45.1,77103,1
14-04-08,404,46.4,77757,1
04-05-08,100,11.5,78473,
06-05-08,295,33.9,78478,1
23-05-08,40,4.3,79084,
23-05-08,100,10.8,79162,
26-05-08,100,10.8,79289,
01-06-08,445,48.1,79441,1
26-06-08,409,41.9,80170,1
01-07-08,43.7,4.5,80273,1
21-07-08,100,9.5,80794,
03-08-08,200,19,80977,
06-08-08,300,29.4,81237,
16-08-08,50,4.9,81650,
20-08-08,50,4.9,81737,
29-08-08,200,19.6,81818,
01-09-08,100,9.8,82044,
03-09-08,200,21.2,82193,
10-09-08,50,5.29,82438,
12-09-08,20,2.16,82510,
13-09-08,40,4.2,82579,
14-09-08,50,5.3,82628,
19-09-08,200,21.1,82744,
24-09-08,30,3.18,83074,
25-09-08,100,10.5,83077,
27-09-08,100,10.56,83250,
01-10-08,100,10.87,83445,
10-10-08,200,21.7,83500,
23-10-08,100,10.87,83875,
26-10-08,50,5.4,84000,
29-10-08,20,2.18,84066,
01-11-08,100,10.8,84131,
04-11-08,100,10.8,84218,
06-11-08,50,5.7,84385,
10-11-08,110,12.6,84500,
12-11-08,100,11.4,84668,
