"site","src","index","date","temp"
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1973-07-01,11.722
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1973-08-01,11.534
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1973-09-01,10.879
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1973-10-01,11.786
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1973-11-01,12.308
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1973-12-01,12.34
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1974-01-01,11.538
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1974-02-01,12.105
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1974-03-01,11.971
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1974-04-01,12.462
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1974-05-01,12.444
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1974-06-01,12.735
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1974-07-01,11.455
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1974-08-01,12.704
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1974-09-01,11.02
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1974-10-01,11.056
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1974-11-01,11.98
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1974-12-01,11.365
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1975-01-01,11.019
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1975-02-01,13.667
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1975-03-01,11.673
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1975-04-01,12.519
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1975-05-01,12.611
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1975-06-01,11.558
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1975-07-01,NA
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1975-08-01,10.596
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1975-09-01,10.462
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1975-10-01,10.741
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1975-11-01,10.76
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1975-12-01,12.089
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1976-01-01,13.446
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1976-02-01,13.104
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1976-03-01,NA
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1976-04-01,NA
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1976-05-01,12.088
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1976-06-01,12.567
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1976-07-01,12.167
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1976-08-01,10.806
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1976-09-01,10.7
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1976-10-01,11.597
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1976-11-01,12.417
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1976-12-01,12.823
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1977-01-01,12.968
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1977-02-01,14.38
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1977-03-01,13.387
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1977-04-01,13
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1977-05-01,12.31
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1977-06-01,12.25
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1977-07-01,11.887
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1977-08-01,11.71
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1977-09-01,11.867
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1977-10-01,11.817
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1977-11-01,11.95
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1977-12-01,12.742
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1978-01-01,12.823
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1978-02-01,12.857
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1978-03-01,12.677
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1978-04-01,12.933
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1978-05-01,12.387
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1978-06-01,11.533
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1978-07-01,11.69
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1978-08-01,12.29
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1978-09-01,11.917
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1978-10-01,11.548
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1978-11-01,12.517
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1978-12-01,12.968
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1979-01-01,13.194
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1979-02-01,13.589
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1979-03-01,12.935
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1979-04-01,12.067
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1979-05-01,12.177
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1979-06-01,12.2
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1979-07-01,11.468
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1979-08-01,11.468
