site,var_bl,n_bl,se_bl
A-Frame,341.719696969697,12,5.336350945556468
Baboon Rock,360.08333333333326,12,5.477859476514931
Batsata Rock,655.3333333333334,10,8.095266106394115
Betty's Bay,487.29545454545456,12,6.372437096233634
Bordjiestif North,282.9888888888889,10,5.3196699981191395
Buffels,206.6287878787879,12,4.14958620305274
Buffels South ,260.26515151515156,12,4.657119563234621
Kommetjie,798.1111111111111,9,9.41695345351558
Miller's Point,260.69444444444446,9,5.3820116483259355
Olifantsbos,679.1555555555556,10,8.241089464115504
Rocky Bank,567.6545454545454,11,7.183659142643529
Roman Rock,200.0181818181818,11,4.264208141540486
Sea Point,470.8999999999999,10,6.862215385719104
